"MOVIEID","IMDBID","TITLE","GENRES","TITLETYPE","STARTYEAR","RELEASE_DATE_TXT","RUNTIME","PRODUCTION_COMPANIES","POPULARITY","ORIGINAL_LANGUAGE","RUNTIMEMINUTES","DIRECTOR_NAME","DIRECTOR_GENDER","ACTOR1_NAME","ACTOR1_GENDER","ACTOR2_NAME","ACTOR2_GENDER","AVERAGERATING","NUMVOTES","BUDGET","REVENUE","VOTE_COUNT","VOTE_AVERAGE","ML_RCOUNT","ML_RATING"
130796,"0093891","Rumpelstiltskin","Children|Fantasy|Sci-Fi","movie",1987,"01/04/1987",84,"none",0.128575,"en","84","David Irving",0,"Amy Irving",1,"Clive Revill",2,5.5,528,0,0,5,3.6,3,2.5
67702,"0022279","Private Lives","Comedy|Drama","movie",1931,"12/12/1931",84,"Metro-Goldwyn-Mayer (MGM)",0.044157,"en","84","Sidney Franklin",2,"Norma Shearer",0,"Robert Montgomery",2,6.8,1009,0,0,6,6.1,13,3.30769230769230769230769230769230769231
44611,"0066450","They Call Me Mister Tibbs!","Crime|Drama|Mystery","movie",1970,"10/07/1970",108,"The Mirisch Corporation",0.814292,"en","108","Gordon Douglas",2,"Sidney Poitier",2,"Martin Landau",2,6.1,3024,0,0,12,5.4,41,3.01219512195121951219512195121951219512
4182,"0090213","Tuff Turf","Drama","movie",1985,"11/01/1985",112,"New World Pictures",1.031219,"en","112","Fritz Kiersch",2,"James Spader",2,"Kim Richards",1,6.2,3860,0,0,21,5.8,68,2.66176470588235294117647058823529411765
99744,"1483756","The Trouble with Bliss","Comedy|Drama","movie",2011,"01/10/2011",97,"none",0.783018,"en","97","Michael Knowles",2,"Michael C. Hall",2,"Lucy Liu",1,5.3,2433,0,0,18,4.1,13,2.76923076923076923076923076923076923077
5189,"0080904","Humanoids from the Deep","Horror|Sci-Fi","movie",1980,"01/05/1980",80,"New World Pictures",0.659939,"en","80","Barbara Peeters",1,"Doug McClure",2,"Ann Turkel",1,5.7,7132,0,0,44,5.9,118,2.63135593220338983050847457627118644068
7191,"0103827","Blame It on the Bellboy","Comedy","movie",1992,"06/03/1992",78,"Hollywood Pictures",0.39309,"en","78","Mark Herman",0,"Dudley Moore",2,"Bryan Brown",2,5.6,2360,0,0,14,5.8,80,2.36875
6131,"0083107","Some Kind of Hero","Comedy|Drama","movie",1982,"02/04/1982",97,"Paramount Pictures",0.142432,"en","97","Michael Pressman",2,"Richard Pryor",2,"Margot Kidder",1,5.8,1238,0,0,3,6.8,40,2.6625
5495,"0060708","Modesty Blaise","Comedy","movie",1966,"01/05/1966",119,"Twentieth Century-Fox Productions",0.62767,"en","119","Joseph Losey",2,"Monica Vitti",1,"Terence Stamp",2,5.1,2472,0,0,22,5.3,81,2.7962962962962962962962962962962962963
72913,"1421032","Disco and Atomic War","Documentary","movie",2009,"10/04/2009",80,"Eetriüksus",0.001997,"en","80","Jaak Kilmi",0,"Gerda Viira",0,"Oskar Vuks",0,7.5,453,0,0,2,5.3,19,3.65789473684210526315789473684210526316
8828,"0057997","Dead Ringer","Drama|Thriller","movie",1964,"19/02/1964",115,"Warner Bros.",0.336832,"en","116","Paul Henreid",2,"Bette Davis",1,"Karl Malden",2,7.3,4507,0,0,21,7,55,3.40909090909090909090909090909090909091
160352,"3155734","Dark Moon Rising","Fantasy|Horror","movie",2015,"04/08/2015",124,"Great Movies",0.212043,"en","124","Justin Price",2,"none",0,"Stasi Esper",0,3.6,4434,0,0,17,3.4,2,2.75
139291,"0106698","Demon Possessed","(no genres listed)","movie",1993,"01/01/1993",90,"none",0.009,"en","86","none",1,"none",0,"none",0,3.8,216,0,0,0,0,2,1
27703,"0338467","High Roller: The Stu Ungar Story","Drama","movie",2003,"01/05/2003",120,"AMV Production",0.075209,"en","120","A.W. Vidmer",0,"Michael Imperioli",2,"Renee Faia",1,6.1,2003,0,0,0,0,4,3.625
128578,"0265232","Once in a Lifetime","Comedy","movie",2000,"10/11/2000",108,"SVT Drama",0.216172,"en","108","Susanne Bier",1,"Helena Bergström",0,"Jonas Karlsson",0,5.2,1943,0,0,7,3.6,10,2.95
84498,"0073317","Lucky Lady","Comedy|Drama","movie",1975,"25/12/1975",118,"none",0.086499,"en","118","Stanley Donen",2,"Liza Minnelli",1,"Burt Reynolds",2,5.3,1037,13000000,24441725,0,0,12,2.70833333333333333333333333333333333333
39305,"0053001","Li'l Abner","Comedy|Musical","movie",1959,"11/12/1959",114,"Paramount Pictures",0.259303,"en","114","Melvin Frank",2,"Peter Palmer",2,"Leslie Parrish",1,6.7,1208,0,0,1,10,11,3.27272727272727272727272727272727272727
124653,"0047476","She Couldn't Say No","Comedy|Drama","movie",1953,"15/02/1954",89,"RKO Radio Pictures",0.212652,"en","89","Lloyd Bacon",2,"Robert Mitchum",2,"Jean Simmons",1,5.9,570,0,0,2,5.5,1,4
80792,"0463032","Southbounders","Drama","movie",2005,"22/06/2005",86,"none",0.001129,"en","86","none",1,"Amy Cale Peterson",0,"Scott Speiser",2,6.4,145,0,0,1,6,3,3.83333333333333333333333333333333333333
59641,"0052106","The Quiet American","Drama|Romance|Thriller|War","movie",1958,"08/02/1958",120,"Figaro",0.010589,"en","120","Joseph L. Mankiewicz",2,"Audie Murphy",0,"Michael Redgrave",2,6.7,1564,0,0,7,5.3,10,3.35
86471,"0004465","The Perils of Pauline","Action","movie",1914,"31/03/1914",410,"none",0.00342,"en","199","Louis J. Gasnier",0,"Milton Berle",2,"Edward José",2,6.3,928,0,0,4,5.6,6,2.58333333333333333333333333333333333333
151953,"0098252","Blood","Drama|Mystery","movie",1989,"07/12/1989",95,"none",0.0002,"en","95","Pedro Costa",2,"Pedro Hestnes",0,"Nuno Ferreira",0,7.4,883,0,0,5,7.6,7,3.57142857142857142857142857142857142857
34065,"0061405","Billion Dollar Brain","Drama|Thriller","movie",1967,"02/11/1967",111,"Lowndes Productions Limited",0.371747,"en","111","Ken Russell",2,"Michael Caine",2,"Françoise Dorléac",1,6,4538,0,0,22,5.3,63,3.01587301587301587301587301587301587302
132638,"0119863","The Bet","Comedy","movie",1997,"15/10/1997",100,"Renn Productions",0.135045,"en","100","Bernard Campan",2,"Didier Bourdon",2,"Bernard Campan",2,6.2,3375,0,0,56,6.1,15,3.5
107974,"0026137","The Bride Comes Home","Comedy|Romance","movie",1935,"25/12/1935",83,"Paramount Pictures",0.000291,"en","83","Wesley Ruggles",2,"Claudette Colbert",1,"Fred MacMurray",2,6.3,136,0,0,0,0,2,3.5
180645,"0036001","His Butler's Sister","(no genres listed)","movie",1943,"26/11/1943",87,"none",0.216454,"en","87","Frank Borzage",2,"Deanna Durbin",1,"Franchot Tone",2,7,401,0,0,4,7.3,2,3.5
143211,"0041255","Once More, My Darling","(no genres listed)","movie",1949,"24/09/1949",92,"Universal International Pictures (UI)",0.092282,"en","92","Robert Montgomery",2,"Robert Montgomery",2,"Ann Blyth",1,6.9,146,0,0,0,0,1,3
124121,"0042674","Let's Dance","Comedy|Romance","movie",1950,"29/11/1950",112,"Paramount Pictures",0.025273,"en","112","Norman Z. McLeod",2,"Betty Hutton",1,"Fred Astaire",2,6.3,421,0,0,3,6.3,2,3.75
172953,"0365296","Hair High","Animation|Comedy|Horror","movie",2004,"17/04/2004",78,"Plymptoons",1.21977,"en","78","Bill Plympton",0,"none",0,"Eric Gilliland",0,6.8,823,0,0,8,7.4,2,4
82131,"0050699","Men in War","Drama|War","movie",1957,"19/03/1957",102,"Security Pictures",0.853538,"en","102","Anthony Mann",2,"Robert Ryan",2,"Aldo Ray",2,7.2,2304,0,0,12,7.1,15,3.3
85983,"0062768","Bye Bye Braverman","Comedy|Drama","movie",1968,"21/02/1968",94,"Seven Arts",0.000836,"en","94","Sidney Lumet",0,"George Segal",2,"Sorrell Booke",2,5.7,552,0,0,3,8.7,6,2.58333333333333333333333333333333333333
151799,"0065775","Getting Straight","Comedy|Drama","movie",1970,"13/05/1970",124,"Columbia Pictures Corporation",0.128439,"en","124","Richard Rush",2,"Elliott Gould",2,"Candice Bergen",1,6.4,1095,0,13300000,3,6.3,6,2.75
113302,"0076630","Rituals","Adventure|Horror|Thriller","movie",1977,"21/07/1977",100,"Canadian Film Development Corporation (CFDC)",0.261576,"en","100","Peter Carter",2,"Hal Holbrook",2,"Lawrence Dane",2,6.3,1679,0,0,11,6.8,15,3.06666666666666666666666666666666666667
176263,"0112613","Caged Heat 3000","Sci-Fi","movie",1995,"01/01/1995",85,"Concorde-New Horizons",0.192342,"en","80","Aaron Osborne",2,"Lisa Boyle",1,"Kena Land",0,3.8,216,0,0,1,3.5,1,2
173077,"0062035","Danger!! Death Ray","Drama|Romance|Sci-Fi","movie",1967,"28/01/1967",93,"Leda Films Productions S.L.",0.021563,"en","93","Gianfranco Baldanello",0,"Gordon Scott",2,"none",0,2.5,627,0,0,3,1.7,3,1.83333333333333333333333333333333333333
26610,"0094304","Weeds","Drama","movie",1987,"16/10/1987",115,"De Laurentiis Entertainment Group (DEG)",0.001449,"en","115","John D. Hancock",2,"Nick Nolte",2,"Ernie Hudson",2,6,769,0,0,3,4.7,7,2.64285714285714285714285714285714285714
112637,"0073835","The Ultimate Warrior","Action|Sci-Fi|Thriller","movie",1975,"01/01/1975",94,"none",0.217086,"en","94","Robert Clouse",2,"Yul Brynner",2,"Max von Sydow",2,5.7,1814,0,0,16,4.5,7,2.28571428571428571428571428571428571429
152904,"0411815","Run","(no genres listed)","movie",2004,"29/01/2004",0,"none",0.017045,"en","137","none",1,"Abhishek Bachchan",0,"none",0,4.8,1198,0,0,4,5.5,4,2.625
134838,"0061658","Festival","Documentary|Musical","movie",1967,"22/10/1967",97,"none",0.128736,"en","95","Murray Lerner",0,"none",0,"Horton Barker",0,7.6,414,0,0,2,3.8,7,3.57142857142857142857142857142857142857
115763,"0080854","Heart Beat","Drama","movie",1980,"25/04/1980",110,"Orion Pictures",0.002381,"en","110","John Byrum",2,"none",0,"Nick Nolte",2,5.7,574,0,0,2,7.5,2,3.5
157286,"0061671","Five the Hard Way","Action","movie",1969,"01/05/1969",89,"Lovina Productions",0.087168,"en","82","Gus Trikonis",2,"Goldie Hawn",1,"Ross Hagen",2,1.7,1689,0,0,6,1,2,1.75
143327,"0042496","Gambling House","Crime","movie",1950,"27/12/1950",80,"RKO Radio Pictures",0.295395,"en","80","Ted Tetzlaff",2,"Victor Mature",2,"Terry Moore",1,6.2,332,0,0,3,5.7,2,3
79636,"0479074","The Inner Life of Martin Frost","Comedy|Drama","movie",2007,"11/10/2007",94,"none",0.178432,"en","94","Paul Auster",2,"David Thewlis",2,"Irène Jacob",1,5.1,633,0,0,1,5,5,2.3
168194,"0060807","Out of Sight","Comedy","movie",1966,"12/05/1966",87,"Universal Pictures",0.128613,"en","87","Lennie Weinrib",2,"Jonathan Daly",2,"Norm Grabowski",2,5.5,80,0,0,1,4.5,1,2.5
112614,"0064310","Eye of the Cat","Horror","movie",1969,"18/06/1969",102,"Joseph L. Schenck Enterprises",0.166474,"en","102","David Lowell Rich",2,"Michael Sarrazin",2,"Gayle Hunnicutt",1,6,638,0,0,2,5.5,4,2.875
122078,"0030887","The Toy Wife","Drama","movie",1938,"10/06/1938",96,"Metro-Goldwyn-Mayer (MGM)",0.192683,"en","96","Richard Thorpe",2,"Luise Rainer",1,"Melvyn Douglas",2,5.9,288,0,0,0,0,1,1
99591,"0364556","Neo Ned","Drama|Romance","movie",2005,"01/01/2005",97,"none",0.07311,"en","97","Van Fischer",0,"Jeremy Renner",2,"Gabrielle Union",1,7.1,1532,0,0,5,5.6,10,3.15
125149,"0024890","The Big Shakedown","Crime","movie",1934,"06/01/1934",61,"First National Pictures",0.02569,"en","64","John Francis Dillon",2,"none",0,"Bette Davis",1,6.4,775,0,0,5,5,1,3
137409,"0098089","Phantom of the Mall: Eric's Revenge","Horror","movie",1989,"01/12/1989",91,"none",0.000138,"en","91","Richard Friedman",2,"Derek Rydall",2,"Kari Whitman",1,4.8,672,0,0,2,2.5,2,2
112517,"0082769","Mystery on Monster Island","Adventure|Comedy","movie",1981,"03/04/1981",105,"Almena Films",0.367693,"en","100","Juan Piquer Simón",0,"Terence Stamp",2,"Peter Cushing",2,3.8,722,0,0,4,4.8,4,2
157625,"0009796","The Whispering Chorus","Drama","movie",1918,"28/03/1918",86,"none",0.071372,"en","86","Cecil B. DeMille",2,"Raymond Hatton",2,"Kathlyn Williams",1,6.8,254,0,0,2,6,4,2.25
182545,"0014636","Zaza","Drama|Romance","movie",1923,"21/10/1923",66,"Paramount Pictures",0.087723,"en","84","Allan Dwan",2,"Gloria Swanson",1,"H.B. Warner",0,6.2,771,0,0,0,0,3,3.33333333333333333333333333333333333333
46790,"0065950","The Kremlin Letter","Drama|Thriller","movie",1970,"01/02/1970",120,"none",0.254039,"en","120","John Huston",2,"Richard Boone",2,"Nigel Green",2,6.3,1708,0,0,8,5.8,3,2.83333333333333333333333333333333333333
133337,"0263868","Backdoor","Drama","movie",2000,"01/01/2000",105,"none",0.396853,"en","105","Yorgos Tsemberopoulos",0,"none",0,"Ieroklis Michaelidis",0,6.3,446,0,0,3,7.3,4,3.25
134599,"0070283","Ladies & Gentlemen, the Rolling Stones","Documentary","movie",1973,"01/12/1973",83,"none",0.082475,"en","90","Rollin Binzer",0,"Mick Jagger",2,"none",0,8,602,0,0,4,5.1,5,3
158145,"0103008","Superstar: The Life and Times of Andy Warhol","Documentary","movie",1990,"18/07/1990",87,"none",0.001185,"en","87","Chuck Workman",2,"none",0,"none",0,7,297,0,0,0,0,5,3.6
84508,"0047388","The Raid","Action|Drama|War","movie",1954,"04/08/1954",83,"Twentieth Century Fox Film Corporation",0.232097,"en","83","Hugo Fregonese",2,"Van Heflin",2,"Anne Bancroft",1,6.8,757,0,0,5,5.6,6,3.5
100003,"0051143","Up In Smoke","Comedy","movie",1957,"22/12/1957",61,"Allied Artists Pictures",0.00025,"en","61","William Beaudine",2,"Huntz Hall",2,"Stanley Clements",2,6.1,133,0,0,1,8,3,3.66666666666666666666666666666666666667
160494,"0080016","Thirst","Horror|Sci-Fi|Thriller","movie",1979,"28/09/1979",95,"New South Wales Film Corp.",0.701177,"en","93","Rod Hardy",2,"Chantal Contouri",0,"Max Phipps",0,5.8,1157,0,0,14,4.9,5,2.3
174689,"0074942","My Friends Need Killing","Crime|Drama|Horror","movie",1976,"10/12/1976",73,"LMN Productions",0.002596,"en","73","Paul Leder",2,"none",0,"Greg Mullavey",0,6.3,70,0,0,0,0,1,3.5
130456,"0033337","Among the Living","(no genres listed)","movie",1941,"19/12/1941",67,"Paramount Pictures",0.004008,"en","67","Stuart Heisler",2,"Albert Dekker",2,"Susan Hayward",1,6.4,418,0,0,4,5.4,2,3
78059,"0067929","The Velvet Vampire","Fantasy|Horror","movie",1971,"13/10/1971",80,"New World Pictures",0.379744,"en","80","Stephanie Rothman",1,"Michael Blodgett",2,"Sherry Miles",1,5.5,628,0,0,7,3.9,4,2.875
156309,"0036047","It Ain't Hay","Comedy","movie",1943,"19/03/1943",80,"Universal Pictures",0.190522,"en","80","Erle C. Kenton",0,"Bud Abbott",2,"Lou Costello",2,6.9,807,0,0,5,6.6,2,5
199656,"0039793","Río Escondido","Drama","movie",1948,"12/02/1948",110,"none",0.001611,"en","110","Emilio Fernández",2,"María Félix",1,"Carlos López Moctezuma",2,6.9,156,0,0,1,5,1,3.5
202944,"0074826","Lumiere","(no genres listed)","movie",1976,"24/03/1976",95,"none",0.13658,"en","95","Jeanne Moreau",1,"Jeanne Moreau",1,"Keith Carradine",2,5.7,102,0,0,1,10,1,5
128179,"0045631","City That Never Sleeps","Crime|Drama","movie",1953,"12/06/1953",90,"Republic Pictures",0.241662,"en","90","John H. Auer",2,"Gig Young",2,"Mala Powers",0,6.8,1114,0,0,6,6.4,4,3.5
132216,"0052992","The Last Mile","Crime|Drama|Thriller","movie",1959,"18/02/1959",81,"none",0.000562,"en","81","Howard W. Koch",2,"Mickey Rooney",0,"Frank Overton",2,6.7,258,0,0,4,5.3,1,2
141170,"0016634","Beau Geste","(no genres listed)","movie",1926,"24/08/1926",102,"none",0.012021,"en","101","Herbert Brenon",2,"Ronald Colman",2,"Neil Hamilton",2,7,327,0,0,1,5,1,3.5
149856,"0029924","Blockade","Drama|War","movie",1938,"17/06/1938",85,"United Artists",0.258173,"en","85","William Dieterle",0,"Madeleine Carroll",1,"Henry Fonda",2,5.7,419,0,0,0,0,2,2.75
156258,"0033848","The Lone Wolf Keeps a Date","Comedy|Crime|Mystery","movie",1940,"02/11/1940",65,"Columbia Pictures Corporation",0.083527,"en","65","Sidney Salkow",0,"Warren William",0,"Frances Robinson",1,6.1,253,0,0,1,6,1,3
155338,"0051103","Tous peuvent me tuer","Crime|Drama","movie",1957,"06/12/1957",102,"Sofradis",0.190584,"en","102","Henri Decoin",2,"none",0,"François Périer",2,6.3,74,0,0,0,0,2,3.75
161558,"0026108","The Best Man Wins","(no genres listed)","movie",1935,"14/01/1935",75,"none",0.070098,"en","75","Erle C. Kenton",0,"Edmund Lowe",2,"Jack Holt",2,6.2,45,0,0,0,0,1,3
166326,"0049026","The Boss","Action|Drama|Thriller","movie",1956,"01/10/1956",89,"Frank Seltzer Productions",0.002787,"en","89","Byron Haskin",2,"John Payne",2,"William Bishop",0,6.4,241,0,0,3,4,1,2
162510,"0028240","Seven Sinners","Crime|Thriller","movie",1936,"15/08/1936",67,"Gaumont British Picture Corporation",0.081752,"en","67","Albert de Courville",0,"Edmund Lowe",2,"Constance Cummings",1,6.8,307,0,0,1,6.5,1,2.5
100411,"0077573","The Foreigner","Drama","movie",1978,"01/01/1978",90,"none",0.009614,"en","77","Amos Poe",2,"Eric Mitchell",2,"Patti Astor",1,5.4,177,0,0,2,6,1,2.5
102388,"0069840","The Candy Snatchers","Crime|Thriller","movie",1973,"01/01/1973",94,"General Film Corporation",0.000059,"en","94","Guerdon Trueblood",0,"Tiffany Bolling",1,"Ben Piazza",2,6.4,1164,0,0,7,7.2,6,2.66666666666666666666666666666666666667
194825,"0092030","The Supernaturals","Horror","movie",1986,"09/05/1986",91,"none",0.050427,"en","91","Armand Mastroianni",2,"Maxwell Caulfield",2,"Nichelle Nichols",1,4.3,586,0,0,1,2,2,2
111846,"0041144","Bad Boy","Drama","movie",1949,"22/02/1949",86,"Paul Short Productions",0.041732,"en","86","Kurt Neumann",2,"none",0,"Audie Murphy",0,6.8,232,0,0,1,8,1,3
184429,"0065871","I Love My Wife","Comedy","movie",1970,"21/12/1970",98,"Universal Pictures",0.001755,"en","98","Mel Stuart",2,"none",0,"Elliott Gould",2,4.8,125,0,0,0,0,1,3
161772,"0092967","End of the Line","Action|Drama","movie",1987,"28/08/1987",103,"none",0.067977,"en","103","Jay Russell",2,"Kevin Bacon",2,"Bob Balaban",2,5.6,574,0,0,2,5.5,2,3.25
156313,"0036953","In Society","Comedy","movie",1944,"16/08/1944",75,"Universal Pictures",0.01967,"en","75","Jean Yarbrough",2,"none",0,"Bud Abbott",2,6.8,1789,0,0,6,6.5,2,4.5
107875,"0068704","Hit Man","Crime|Drama","movie",1972,"20/12/1972",90,"Metro-Goldwyn-Mayer (MGM)",0.197792,"en","90","George Armitage",0,"Bernie Casey",2,"Pam Grier",1,5.8,752,0,0,2,6.3,5,2.6
177075,"0108447","The Unnamable II","Horror","movie",1992,"05/02/1993",104,"none",0.69043,"en","104","Jean-Paul Ouellette",0,"Mark Kinsey Stephenson",2,"Charles Klausmeyer",2,5.2,874,1000000,0,7,4.1,2,3.25
152224,"3676370","Breaking Through","Drama","movie",2015,"19/08/2015",84,"FJ Productions",0.420175,"en","101","John Swetnam",0,"none",0,"Julie Warner",1,4.3,342,0,0,19,5.6,1,2.5
206743,"0078870","Black Jack","Adventure","movie",1979,"09/09/1979",105,"National Film Finance Consortium",0.00297,"en","110","Ken Loach",2,"Jean Franval",2,"Stephen Hirst",0,6.5,428,0,0,7,5.8,1,4
123545,"0041190","The Blue Lagoon","Drama|Romance","movie",1949,"01/03/1949",101,"Individual Pictures",0.31425,"en","101","Frank Launder",2,"Jean Simmons",1,"Donald Houston",2,6.4,439,0,0,1,6.5,1,3
130528,"0070170","Henry VIII and His Six Wives","Drama","movie",1972,"13/07/1972",120,"Anglo-EMI",0.000458,"en","125","Waris Hussein",2,"Keith Michell",2,"Donald Pleasence",2,7,723,0,0,5,7.4,1,5
2065,"0089853","The Purple Rose of Cairo","Comedy|Drama|Fantasy|Romance","movie",1985,"01/03/1985",82,"Orion Pictures",0.852363,"en","82","Woody Allen",2,"Mia Farrow",0,"Jeff Daniels",2,7.7,45080,15000000,10631333,184,7.3,3877,3.68751612071189063709053391797781790044
2288,"0084787","The Thing","Action|Horror|Sci-Fi|Thriller","movie",1982,"25/06/1982",109,"Universal Pictures",5.691699,"en","109","John Carpenter",2,"Kurt Russell",2,"Keith David",2,8.1,351336,15000000,19629760,1455,7.8,10979,3.88195646233718917934238090900810638492
1262,"0057115","The Great Escape","Action|Adventure|Drama|War","movie",1963,"20/06/1963",172,"United Artists",4.08759,"en","172","John Sturges",2,"Steve McQueen",2,"James Garner",2,8.2,214763,4000000,11744471,672,7.8,11265,4.10368397691966267199289835774522858411
875,"0110693","Nothing to Lose","Action|Crime|Drama","movie",1994,"01/01/1994",0,"none",0.000153,"en","\N","Izidore K. Musallam",0,"none",0,"Alexandra Paul",1,6,56,0,0,0,0,471,3.43205944798301486199575371549893842887
932,"0050105","An Affair to Remember","Drama|Romance","movie",1957,"11/07/1957",111,"Twentieth Century Fox Film Corporation",0.554608,"en","115","Leo McCarey",2,"Cary Grant",2,"Deborah Kerr",1,7.5,26594,0,0,93,7,2074,3.81051108968177434908389585342333654773
1043,"0117924","To Gillian on Her 37th Birthday","Drama|Romance","movie",1996,"18/10/1996",93,"Rastar Pictures",0.736277,"en","93","Michael Pressman",2,"Peter Gallagher",2,"Michelle Pfeiffer",1,5.7,4503,0,4137645,12,5.1,1107,3.01264679313459801264679313459801264679
1395,"0094155","Tin Men","Comedy|Drama","movie",1987,"06/03/1987",112,"Touchstone Pictures",0.505002,"en","112","Barry Levinson",2,"Richard Dreyfuss",2,"Danny DeVito",2,6.5,7614,0,0,34,6.7,2096,3.36784351145038167938931297709923664122
2929,"0082979","Reds","Drama|Romance","movie",1981,"25/12/1981",195,"Barclays Mercantile Industrial Finance",1.385216,"en","195","Warren Beatty",2,"Warren Beatty",2,"Diane Keaton",1,7.3,19864,32000000,40382659,62,7,1336,3.51384730538922155688622754491017964072
1619,"0120102","Seven Years in Tibet","Adventure|Drama|War","movie",1997,"12/09/1997",136,"TriStar Pictures",3.440003,"en","136","Jean-Jacques Annaud",2,"Brad Pitt",2,"Jamyang Jamtsho Wangchuk",0,7.1,120842,70000000,131457682,582,6.9,4796,3.42816930775646371976647206005004170142
5544,"0080025","Time After Time","Sci-Fi|Thriller","movie",1979,"31/08/1979",112,"Orion Pictures",0.344693,"en","112","Nicholas Meyer",2,"Malcolm McDowell",2,"David Warner",2,7.1,14643,0,0,85,6.7,805,3.59440993788819875776397515527950310559
2976,"0163988","Bringing Out the Dead","Drama","movie",1999,"22/10/1999",121,"Paramount Pictures",1.971974,"en","121","Martin Scorsese",2,"Nicolas Cage",2,"Patricia Arquette",1,6.8,61322,32000000,0,210,6.6,3498,3.18238993710691823899371069182389937107
2136,"0057372","The Nutty Professor","Comedy|Sci-Fi","movie",1963,"04/06/1963",107,"Paramount Pictures",0.572184,"en","107","Jerry Lewis",2,"Jerry Lewis",2,"Stella Stevens",1,6.7,14837,0,0,79,6.6,2654,2.85512434061793519216277317256970610399
4254,"0231402","Crocodile Dundee in Los Angeles","Comedy|Drama","movie",2001,"12/04/2001",92,"Bungalow Productions",0.326441,"en","92","Simon Wincer",0,"Paul Hogan",2,"Linda Kozlowski",1,4.8,22899,21150000,39438674,139,4.7,1770,2.20056497175141242937853107344632768362
3865,"0236388","The Original Kings of Comedy","Comedy|Documentary","movie",2000,"18/08/2000",115,"40 Acres & A Mule Filmworks",0.285286,"en","115","Spike Lee",2,"Steve Harvey",2,"D. L. Hughley",2,6.9,5203,0,0,13,6,919,3.26224156692056583242655059847660500544
3835,"0106627","The Crush","Thriller","movie",1993,"02/04/1993",89,"Warner Bros.",1.44761,"en","89","Alan Shapiro",2,"Cary Elwes",2,"Alicia Silverstone",0,5.8,15577,6000000,13609396,58,5.6,863,2.64831981460023174971031286210892236385
8935,"0101301","All I Want For Christmas","Children|Comedy|Romance","movie",1991,"08/11/1991",92,"Paramount Pictures",1.1781,"en","92","Robert Lieberman",2,"Harley Jane Kozak",1,"Jamey Sheridan",2,6,4251,0,14812000,23,5.5,61,2.73770491803278688524590163934426229508
1178,"0050825","Paths of Glory","Drama|War","movie",1957,"18/09/1957",88,"United Artists",3.155678,"en","88","Stanley Kubrick",2,"Kirk Douglas",2,"Ralph Meeker",2,8.4,167244,935000,0,500,8.1,4254,4.19934179595674659144334743770568876352
79572,"0493949","Ramona and Beezus","Children|Comedy","movie",2010,"23/07/2010",103,"Dune Entertainment",0.621982,"en","104","Elizabeth Allen Rosenbaum",1,"Joey King",1,"Selena Gomez",1,6.5,16651,0,0,229,6.2,111,3.18018018018018018018018018018018018018
3886,"0161216","Steal This Movie","Drama","movie",2000,"18/08/2000",107,"Ardent Films",0.291218,"en","107","Robert Greenwald",2,"Vincent D'Onofrio",2,"Janeane Garofalo",1,6.5,2180,0,0,10,6.1,189,3.09259259259259259259259259259259259259
4285,"0101912","Frankie and Johnny","Comedy|Romance","movie",1991,"18/10/1991",118,"Paramount Pictures",1.081876,"en","118","Garry Marshall",2,"Michelle Pfeiffer",1,"Al Pacino",2,6.7,27686,0,22773535,98,6.6,835,3.18802395209580838323353293413173652695
7387,"0077402","Dawn of the Dead","Action|Drama|Horror","movie",1978,"02/09/1978",127,"Laurel Group",2.016929,"en","127","George A. Romero",2,"David Emge",0,"Ken Foree",2,7.9,107436,650000,55000000,541,7.4,3649,3.79788983283091257878870923540696081118
174727,"4846232","Good Time","Crime|Drama","movie",2017,"11/08/2017",99,"A24",0.999687,"en","102","Ben Safdie",2,"Robert Pattinson",2,"Jennifer Jason Leigh",1,7.4,71654,0,0,1,0,560,3.79196428571428571428571428571428571429
49824,"0443489","Dreamgirls","Drama|Musical","movie",2006,"25/12/2006",134,"Paramount Pictures",0.929797,"en","130","Bill Condon",2,"Jamie Foxx",2,"Beyoncé Knowles",1,6.5,66515,70000000,154937680,250,6.5,1018,3.25589390962671905697445972495088408644
4757,"0202470","Rock Star","Comedy|Drama|Musical","movie",2001,"04/09/2001",105,"Bel Air Entertainment",0.912521,"en","105","Stephen Herek",2,"Mark Wahlberg",2,"Jennifer Aniston",1,6.3,39881,57000000,16991902,173,6,1358,2.97717231222385861561119293078055964654
1337,"0037549","The Body Snatcher","Drama|Horror|Thriller","movie",1945,"25/05/1945",77,"RKO Radio Pictures",0.421953,"en","78","Robert Wise",2,"Boris Karloff",0,"Bela Lugosi",0,7.3,7819,0,0,45,6.7,641,3.47581903276131045241809672386895475819
3812,"0068555","Everything You Always Wanted to Know About Sex *But Were Afraid to Ask","Comedy","movie",1972,"06/08/1972",88,"United Artists",2.573754,"en","88","Woody Allen",2,"Woody Allen",2,"John Carradine",2,6.8,36984,2000000,18016290,188,6.6,2077,3.52527684159845931632161771786230139624
7126,"0074749","The Killing of a Chinese Bookie","Comedy|Crime|Drama|Film-Noir|Musical","movie",1976,"15/02/1976",135,"Faces Distribution",0.368147,"en","135","John Cassavetes",2,"Ben Gazzara",2,"Timothy Carey",2,7.4,10245,0,0,39,7.1,234,3.76282051282051282051282051282051282051
