"","TITLE","STARTYEAR","RELEASE_DATE_TXT","RUNTIME","PRODUCTION_COMPANIES","POPULARITY","DIRECTOR_NAME","DIRECTOR_GENDER","ACTOR1_NAME","ACTOR1_GENDER","ACTOR2_NAME","ACTOR2_GENDER","AVERAGERATING","NUMVOTES","BUDGET","REVENUE","VOTE_COUNT","VOTE_AVERAGE","ML_RCOUNT","ML_RATING","REVENUElog","drama","romance","thriller","comedy","sci-fi","adventure","animation","children","imax","musical","action","mystery","crime","war","western","fantasy","horror","documentary","film-noir","NO_GENRE"
"865","Blue Summer",1973,"20/11/1973",79,"Vincent Pictures",0.095386,"Chuck Vincent",0,"Davey Jones",0,"Bo White",0,4.6,258,0,0,5,4.7,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"866","The Stalking Moon",1968,"25/12/1968",109,"National General Production Inc.",0.569848,"Robert Mulligan",2,"Gregory Peck",2,"Eva Marie Saint",1,6.7,2108,0,0,11,4.4,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"867","Carry On Screaming",1966,"20/05/1966",87,"Peter Rogers Productions",0.499757,"Gerald Thomas",2,"Kenneth Williams",2,"Jim Dale",2,6.9,4207,0,0,29,6.9,15,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"868","The Reincarnation of Isabel",1973,"17/01/1973",98,"G.R.P. Cinematografica",0.223954,"Renato Polselli",2,"Mickey Hargitay",2,"Rita Calderoni",1,5,709,0,0,2,5,7,2.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"869","Fire Down Below",1957,"30/05/1957",116,"Columbia Pictures Corporation",0.031008,"Robert Parrish",2,"Rita Hayworth",1,"Robert Mitchum",2,6,1376,0,0,4,6.5,35,2.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"870","Désirée",1954,"16/11/1954",110,"Twentieth Century Fox Film Corporation",0.200327,"Henry Koster",2,"Marlon Brando",2,"Jean Simmons",1,6.4,2499,0,0,2,7,11,3.86363636363636,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"871","Cannibal Girls",1973,"01/04/1973",84,"Scary Pictures Productions",0.136364,"Ivan Reitman",2,"Eugene Levy",2,"Andrea Martin",1,4.6,854,0,0,8,3.8,7,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"872","A Day Without a Mexican",2004,"06/08/2004",100,"none",0.264191,"Sergio Arau",2,"Melinda Allen",1,"Frankie J. Allison",0,4.7,3007,0,0,16,5,21,2.28571428571429,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"873","Sabotage",1996,"01/01/1996",96,"none",0.161878,"Tibor Takács",2,"Mark Dacascos",2,"Carrie-Anne Moss",1,5.9,1320,15.4249486703984,0,10,5.5,1,4.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"874","Hired Killer",1966,"25/03/1966",100,"none",0.021383,"Franco Prosperi",0,"none",0,"Robert Webber",2,6.1,103,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"875","Jeff",1969,"25/04/1969",86,"none",0.002807,"Jean Herman",2,"Alain Delon",2,"Mireille Darc",0,5.9,263,0,0,0,0,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"876","Pulgasari",1985,"01/01/1985",95,"Korean Film",0.002664,"Shin Sang-ok",2,"Chang Son Hui",0,"Ham Gi Sop",0,5.2,882,0,0,9,5.6,11,2.36363636363636,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"877","War of the Wildcats",1943,"06/12/1943",102,"Republic Pictures (I)",0.143019,"Albert S. Rogell",0,"John Wayne",2,"Martha Scott",1,6.6,888,0,0,8,6.3,4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"878","Replica",2005,"01/04/2005",66,"Moviehead Pictures",0.000402,"James Nguyen",2,"none",0,"John David Braddock",0,1.5,233,8.8538082749772,0,0,0,1,2.5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"879","Felicity",1978,"09/10/1978",94,"Krystal Motion Picture Productions",0.41885,"John D. Lamond",2,"Glory Annen",1,"Chris Milne",0,5.2,959,0,0,6,6.8,9,2.55555555555556,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"880","The Good Student",2006,"01/01/2006",90,"Screen Media Ventures",0.980932,"David Ostry",2,"Hayden Panettiere",1,"Tim Daly",2,4.9,1310,0,0,9,5.2,5,2.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"881","Blindfold",1966,"22/12/1965",102,"Universal Pictures",0.071263,"Philip Dunne",2,"Rock Hudson",2,"Claudia Cardinale",1,6.1,699,0,0,2,6.5,4,3.375,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"882","Crime on a Summer Morning",1965,"07/07/1965",109,"Terra Firma Films",0.324755,"Jacques Deray",0,"Jean-Paul Belmondo",2,"Geraldine Chaplin",1,6.3,127,0,0,1,7,2,3.25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"883","Tarzan and the Jungle Boy",1968,"01/05/1968",99,"Paramount Pictures",0.059057,"Robert Gordon",0,"Mike Henry",2,"Rafer Johnson",2,5.4,336,0,0,3,4.7,1,2.5,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"884","Birds Do It",1966,"13/08/1966",88,"none",0.000168,"none",1,"none",0,"none",0,4.9,79,0,0,0,0,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"885","Beach Ball",1965,"29/09/1965",83,"none",0.002417,"Lennie Weinrib",2,"Chris Noel",1,"Brenda Benet",1,5.3,144,0,0,1,5,2,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"886","Hell to Eternity",1960,"01/08/1960",131,"Allied Artists Pictures",0.327494,"Phil Karlson",2,"Jeffrey Hunter",2,"David Janssen",2,7,972,0,0,1,10,5,3.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"887","The Red Colored Grey Truck",2004,"11/08/2004",95,"Komuna",0.21527,"Sr?an Koljevi?",0,"Sr?an Todorovi?",2,"Aleksandra Balmazovi?",0,7.4,4662,0,0,6,4.8,6,3.25,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"888","Charlie Chan at the Circus",1936,"27/03/1936",72,"Twentieth Century Fox Film Corporation",0.228485,"Harry Lachman",2,"Warner Oland",2,"Keye Luke",2,7,1468,0,0,6,6.7,5,3.1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"889","Willie and Phil",1980,"15/08/1980",115,"none",3.2e-05,"Paul Mazursky",2,"Michael Ontkean",2,"Ray Sharkey",2,6,393,0,0,0,0,4,2.625,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"890","Payment Deferred",1932,"07/11/1932",81,"Metro-Goldwyn-Mayer (MGM)",0.132622,"Lothar Mendes",2,"Charles Laughton",0,"Maureen O'Sullivan",1,6.9,501,0,0,2,4.5,4,3.125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"891","Bodysong",2003,"05/12/2003",83,"Hot Property Films",0.33183,"Simon Pummell",0,"none",0,"none",0,6.9,685,0,0,2,5,5,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"892","Where Love Has Gone",1964,"02/11/1964",111,"Embassy Pictures Corporation",0.159795,"Edward Dmytryk",0,"Susan Hayward",1,"Bette Davis",1,6.3,1220,0,0,2,5,4,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"893","Three Faces East",1930,"26/08/1930",71,"Warner Bros.",0.026046,"Roy Del Ruth",2,"Constance Bennett",1,"Erich von Stroheim",0,5.9,126,0,0,1,0,1,3.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"894","Woman's World",1954,"30/09/1954",94,"Twentieth Century Fox Film Corporation",0.138768,"Jean Negulesco",2,"Clifton Webb",1,"June Allyson",1,7,855,0,0,3,5.7,1,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"895","When Knighthood Was in Flower",1922,"15/09/1922",121,"none",0.000423,"Robert G. Vignola",0,"Marion Davies",1,"Forrest Stanley",2,6.3,963,0,0,1,8,1,3.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"896","Atlantic Rhapsody",1990,"03/08/1990",80,"Kaleidoskop",0.000268,"Katrin Ottarsdóttir",0,"none",0,"Elin Brimheim Heinesen",0,6.2,47,0,0,0,0,2,3.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"897","Mondo Hollywood",1967,"30/06/1967",120,"Omega-Cyrano Productions",0.000165,"Robert Carl Cohen",0,"none",0,"Margaretta Ramsey",0,6,148,0,0,1,3,4,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"898","Power Play",1978,"01/11/1978",102,"The Rank Organisation",0.067326,"Martyn Burke",2,"Peter O'Toole",2,"David Hemmings",2,6.1,275,0,0,2,8,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"899","Death of a Man in the Balkans",2012,"15/11/2012",80,"none",0.011069,"Miroslav Mom?ilovi?",0,"none",0,"none",0,7.5,1319,0,0,5,7.2,3,3.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"900","Eating",1990,"30/11/1990",110,"none",0.098,"Henry Jaglom",2,"none",0,"none",0,6.1,244,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"901","Pelota",1983,"09/09/1983",47,"none",0.000182,"Jørgen Leth",0,"none",0,"none",0,7.1,34,0,0,0,0,3,3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"902","The Paper Will Be Blue",2006,"07/08/2006",92,"Multimedia Est",0.025827,"Radu Muntean",0,"Paul Ipate",0,"Adi Carauleanu",2,7.7,1958,0,0,4,7.3,7,2.64285714285714,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"903","The Rubber Gun",1977,"27/04/1977",0,"none",0.012136,"Allan Moyle",2,"Stephen Lack",2,"Allan Moyle",2,7,44,0,0,1,7,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"904","Where Is Parsifal?",1984,"19/07/1985",0,"none",0.000466,"Henri Helman",0,"Tony Curtis",2,"Berta Domínguez D.",0,5.3,98,0,0,1,5,3,2.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"905","Surfacing",1981,"25/07/1981",89,"Surfacing Film Productions",0.133862,"Claude Jutra",0,"none",0,"Kathleen Beller",1,4.2,109,14.6264412186249,0,1,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"906","Mysterious Intruder",1946,"11/04/1946",61,"Larry Darmour Productions",0.110418,"William Castle",2,"Richard Dix",2,"Barton MacLane",0,6.6,409,0,0,5,4.8,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"907","The Dybbuk",1937,"29/09/1937",108,"none",0.000215,"Micha? Waszy?ski",2,"none",0,"none",0,6.5,388,0,0,1,5,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"908","Francis of Assisi",1961,"12/07/1961",105,"Twentieth Century Fox Film Corporation",0.020678,"Michael Curtiz",0,"Bradford Dillman",2,"Dolores Hart",1,6.4,740,0,0,6,6.2,1,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"909","The Little Minister",1934,"28/12/1934",110,"RKO Radio Pictures",0.006734,"Richard Wallace",2,"Katharine Hepburn",1,"John Beal",2,6.3,650,0,0,5,4.7,1,3.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"910","Aurora",1998,"25/05/1998",87,"Rara Avis Films",0.00076,"Christopher Kulikowski",0,"Christopher Stapleton",0,"Michael Otis",0,3.5,188,0,0,2,2.5,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"911","The Dirty Sanchez",1999,"27/11/1999",91,"none",0.000145,"Jason Bailey",0,"none",0,"Tim Hallacy",0,5.3,69,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"912","New York Nights",1929,"28/12/1929",82,"Joseph M. Schenck Production",0.013398,"Lewis Milestone",0,"Norma Talmadge",1,"Gilbert Roland",0,5.8,135,0,0,0,0,1,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"913","The Pack",1977,"20/11/1977",95,"Warner Bros.",0.078316,"Robert Clouse",2,"Joe Don Baker",2,"Hope Alexander-Willis",1,6.1,752,0,0,2,7.5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"914","Tibetana",1970,"13/06/1969",99,"Ada Films",0.001809,"John Peyser",2,"none",0,"Pernell Roberts",2,6.5,29,0,0,0,0,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"915","Tommy",1975,"19/03/1975",111,"Columbia Pictures",0.318718,"Ken Russell",2,"Oliver Reed",2,"Ann-Margret",1,6.6,18523,15.4249486703984,34251525,62,6.6,1625,3.07784615384615,17.3492416764245,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"916","A.I. Artificial Intelligence",2001,"29/06/2001",146,"DreamWorks SKG",3.79335,"Steven Spielberg",2,"Haley Joel Osment",2,"Frances O'Connor",1,7.2,282790,18.4206807539524,235926552,1841,6.8,13924,3.27657282390118,19.2790310984504,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"917","Fantasia",1940,"13/11/1940",124,"Walt Disney Pictures",2.834524,"Samuel Armstrong",2,"none",0,"Deems Taylor",0,7.8,85165,14.639686439527,83320000,728,7.1,12290,3.71745321399512,18.238199186359,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
"918","Thunderball",1965,"16/12/1965",130,"Eon Productions",3.526879,"Terence Young",2,"Sean Connery",2,"Claudine Auger",1,7,100677,15.5202588320209,141195658,524,6.5,4404,3.60990009082652,18.7656571389248,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"919","Another Stakeout",1993,"22/07/1993",105,"Touchstone Pictures",0.61279,"John Badham",2,"Richard Dreyfuss",2,"Emilio Estevez",2,5.6,12687,0,0,49,4.9,2938,2.80837304288632,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"920","Indecent Proposal",1993,"07/04/1993",117,"Paramount Pictures",1.835514,"Adrian Lyne",2,"Robert Redford",2,"Demi Moore",1,5.9,59930,17.4530967440064,266614059,263,5.7,3017,2.79035465694398,19.4013127025028,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"921","Lost Highway",1997,"15/01/1997",134,"Ciby 2000",2.720022,"David Lynch",2,"Bill Pullman",2,"Patricia Arquette",1,7.6,124532,16.5235608257331,3675201,515,7.4,4630,3.72311015118791,15.1171186551049,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
"922","All the King's Men",2006,"10/09/2006",125,"Columbia Pictures Corporation",2.322113,"Steven Zaillian",2,"Sean Penn",2,"Jude Law",2,6.2,23109,17.8228437613786,9450897,89,5.7,313,3.12300319488818,16.0616203214102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"923","Knowing",2009,"19/03/2009",121,"Summit Entertainment",2.452787,"Alex Proyas",2,"Nicolas Cage",2,"Rose Byrne",1,6.2,214838,17.7275335833924,155446362,1359,5.8,2591,2.94924739482825,18.8618112976048,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"924","Here On Earth",2000,"23/03/2000",96,"Fox 2000 Pictures",1.001233,"Mark Piznarski",2,"Leelee Sobieski",1,"Chris Klein",2,5.2,8122,0,0,43,5.5,607,2.57001647446458,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"925","Irma la Douce",1963,"05/06/1963",135,"The Mirisch Corporation",0.747018,"Billy Wilder",0,"Jack Lemmon",2,"Shirley MacLaine",1,7.4,16225,0,0,68,7.1,611,3.57364975450082,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"926","Sky High",2005,"29/07/2005",100,"Walt Disney Pictures",1.774294,"Mike Mitchell",2,"Michael Angarano",2,"Kurt Russell",2,6.2,75611,17.3708586480251,86369815,498,5.8,1467,3.16121336059986,18.2741488208849,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"927","Moonlight and Valentino",1995,"29/09/1995",100,"PolyGram Filmed Entertainment",0.103442,"David Anspaugh",2,"Elizabeth Perkins",1,"Gwyneth Paltrow",1,5.7,3396,0,0,8,5.1,636,3.07547169811321,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928","Stalag 17",1953,"29/05/1953",120,"Paramount Pictures",1.417202,"Billy Wilder",0,"William Holden",2,"Don Taylor",2,8,49513,14.323250024442,0,133,7.6,2805,4.08663101604278,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"929","Jennifer Eight",1992,"06/11/1992",124,"Paramount Pictures",0.662837,"Bruce Robinson",0,"Andy García",2,"Lance Henriksen",2,6.3,14766,16.8112428815183,11390479,67,5.8,645,2.95426356589147,16.2482884767654,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"930","Levity",2003,"16/03/2003",100,"Sony Pictures Classics",0.652078,"Ed Solomon",2,"Billy Bob Thornton",2,"Morgan Freeman",2,6.4,6118,15.8304137118399,209151,25,5.8,123,3.28455284552846,12.2508165393396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"931","Bang Bang You're Dead",2002,"07/06/2002",87,"Every Guy Productions",0.802118,"Guy Ferland",2,"Tom Cavanagh",2,"Ben Foster",2,7.8,12247,0,0,51,7.1,483,3.71532091097308,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932","Martha Marcy May Marlene",2011,"21/10/2011",101,"Cunningham & Maybach Films",2.341852,"Sean Durkin",2,"Elizabeth Olsen",1,"Hugh Dancy",2,6.9,47140,0,3538446,259,6.7,575,3.5495652173913,15.0791984882877,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"933","My Man Godfrey",1957,"11/10/1957",92,"Universal Pictures",0.008045,"Henry Koster",2,"June Allyson",1,"David Niven",2,6.3,762,0,0,4,6.4,613,3.91761827079935,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"934","The Lady Eve",1941,"25/02/1941",97,"Paramount Pictures",0.969995,"Preston Sturges",2,"Barbara Stanwyck",1,"Henry Fonda",2,7.8,18099,0,0,67,7.5,1404,4.0982905982906,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"935","Same Time, Next Year",1978,"23/04/1978",119,"none",0.271434,"Robert Mulligan",2,"Alan Alda",2,"Ellen Burstyn",1,7.2,5436,4.77912349311153,19,17,6.4,327,3.50764525993884,2.99573227355399,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"936","Flyboys",2006,"22/09/2006",140,"Ingenious Film Partners",1.443899,"Tony Bill",2,"James Franco",2,"David Ellison",2,6.5,40352,17.909855136853,17800000,258,6.3,397,3.27707808564232,16.6947090714421,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"937","One-Eyed Jacks",1961,"30/03/1961",141,"Pennebaker Productions",1.046605,"Marlon Brando",2,"Marlon Brando",2,"Karl Malden",2,7.1,9330,15.607270193859,4300000,42,6.2,169,3.37869822485207,15.2741258132219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"938","The Devil's Brigade",1968,"15/05/1968",130,"Wolper Pictures",0.247197,"Andrew V. McLaglen",2,"William Holden",2,"Cliff Robertson",0,6.8,4741,0,0,23,6.4,190,3.42105263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"939","The Coca-Cola Kid",1985,"14/07/1985",98,"Australian Film Commission",0.011898,"Dusan Makavejev",2,"Eric Roberts",2,"Greta Scacchi",1,6,2761,0,0,14,5.8,176,3.13352272727273,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"940","The Upside of Anger",2005,"23/01/2005",118,"New Line Cinema",0.581675,"Mike Binder",2,"Joan Allen",1,"Kevin Costner",2,6.8,20817,0,0,62,6.4,701,3.37446504992867,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"941","McLintock!",1963,"13/11/1963",127,"United Artists",1.628152,"Andrew V. McLaglen",2,"John Wayne",2,"Maureen O'Hara",1,7.2,12330,0,0,50,6.1,230,3.6304347826087,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"942","Prom Night IV: Deliver Us from Evil",1991,"14/02/1992",92,"Norstar Entertainment",0.117218,"Clay Borris",2,"Nicole de Boer",1,"J.H. Wyman",0,4.2,1415,0,0,14,4.3,154,1.43506493506494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"943","Hell of the Living Dead",1980,"17/11/1980",101,"Films Dara",0.353953,"Bruno Mattei",0,"Margit Evelyn Newton",0,"Franco Garofalo",2,5,4425,0,0,18,5.7,60,2.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"944","The Beast of Yucca Flats",1961,"02/06/1961",54,"none",0.213293,"Coleman Francis",2,"Tor Johnson",2,"Douglas Mellor",2,2.2,8091,0,0,18,1.6,69,1.63768115942029,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"945","New York, New York",1977,"21/06/1977",155,"United Artists",0.267244,"Martin Scorsese",2,"Liza Minnelli",1,"Robert De Niro",2,6.7,17427,0,0,59,6,173,3.22832369942197,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"946","Incident at Loch Ness",2004,"17/12/2004",94,"none",0.071392,"Zak Penn",2,"Werner Herzog",2,"Kitana Baker",0,6.5,3763,0.693147180559945,0,16,5.6,84,3.0952380952381,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"947","The Night Listener",2006,"12/02/2006",91,"Miramax Films",0.195583,"Patrick Stettner",2,"Toni Collette",1,"Robin Williams",2,5.9,14390,0,0,49,5.7,225,2.86666666666667,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"948","Eating Raoul",1982,"24/03/1982",87,"none",0.297329,"Paul Bartel",2,"Paul Bartel",2,"Mary Woronov",1,6.8,6584,12.7656912906044,0,30,7,429,3.4009324009324,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"949","Undercover Blues",1993,"10/09/1993",90,"Metro-Goldwyn-Mayer (MGM)",0.387697,"Herbert Ross",0,"Kathleen Turner",1,"Dennis Quaid",2,6.1,7274,0,12416686,44,6.2,214,3.08411214953271,16.3345518517043,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"950","Thirteen Women",1932,"16/09/1932",59,"RKO Radio Pictures",0.001458,"George Archainbaud",2,"Irene Dunne",1,"Ricardo Cortez",2,6.3,1048,0,0,5,5.6,9,2.27777777777778,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"951","The Day of the Dolphin",1973,"19/12/1973",104,"AVCO Embassy Pictures",0.631863,"Mike Nichols",2,"George C. Scott",2,"Trish Van Devere",1,6.1,2569,0,0,8,5.4,113,3.17699115044248,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"952","Sgt. Pepper's Lonely Hearts Club Band",1978,"24/07/1978",113,"Universal Pictures",0.109909,"Michael Schultz",2,"Barry Gibb",2,"Robin Gibb",2,4.1,5721,16.705882371416,0,16,4.8,295,2.33559322033898,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"953","Summertime",1955,"01/01/1955",99,"London Film Productions",0.229255,"David Lean",2,"Katharine Hepburn",1,"Rossano Brazzi",2,7.2,7249,0,0,27,6.5,134,3.68283582089552,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954","Lord Jim",1965,"15/02/1965",154,"Columbia Pictures",0.281996,"Richard Brooks",2,"Peter O'Toole",2,"James Mason",2,6.8,3386,0,0,20,6.8,65,3.33846153846154,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955","The Late Show",1977,"10/02/1977",93,"Lions Gate Films",0.17805,"Robert Benton",2,"Art Carney",2,"Lily Tomlin",1,6.9,2219,0,0,10,5.6,101,3.58415841584158,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"956","To Be or Not to Be",1983,"16/12/1983",107,"Twentieth Century Fox Film Corporation",1.167002,"Alan Johnson",2,"Mel Brooks",2,"Anne Bancroft",1,6.9,9821,0,13030214,46,7.1,167,3.44610778443114,16.3827814493486,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"957","The Westerner",1940,"18/09/1940",100,"Samuel Goldwyn Company, The",0.922254,"William Wyler",2,"Gary Cooper",2,"Walter Brennan",2,7.4,4790,0,0,24,6.1,79,3.27848101265823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"958","Destiny",2006,"01/01/2006",103,"Greek Film Center",0.515397,"Zeki Demirkubuz",0,"Vildan Atasever",0,"Ufuk Bayraktar",0,7.9,11119,0,0,8,7.7,12,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"959","A Name for Evil",1973,"01/01/1973",74,"none",0.000124,"Bernard Girard",2,"Robert Culp",2,"Samantha Eggar",1,3.9,261,0,0,0,0,2,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"960","The Dam Busters",1955,"16/05/1955",124,"Associated British Picture Corporation",0.880416,"Michael Anderson",2,"Richard Todd",2,"Michael Redgrave",2,7.4,9132,0,0,32,7,118,3.74576271186441,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"961","The Devil-Doll",1936,"10/07/1936",78,"Metro-Goldwyn-Mayer (MGM)",0.340673,"Tod Browning",2,"Lionel Barrymore",2,"Maureen O'Sullivan",1,7,3561,0,0,20,6.7,45,3.28888888888889,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
